Order,Vital Records Form,Form URL,Form Element,IG,Mapping Profile,Profile,Field,Context,Questionnaire,QuestionnaireField,Notes/Questions
3-035,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,28.3. Maternal Morbidity: Ruptured uterus,BFDR,Condition-ruptured-uterus,Condition-ruptured-uterus,,,,,
3-036,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,28.4. Maternal Morbidity: Unplanned hysterectomy,BFDR,Procedure-unplanned-hysterectomy,Procedure-unplanned-hysterectomy,,,,,
3-037,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,28.5. Maternal Morbidity: Admission to intensive care unit,BFDR,Observation-icu-admission,Observation-icu-admission,,,,,
3-038,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,28.6. Maternal Morbidity: None of the above,BFDR,Observation-none-of-specified-maternal-morbidities,Observation-none-of-specified-maternal-morbidities,,,,,
3-039,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,29. Birthweight,VRCPL,Observation-birth-weight,Observation-birth-weight-vr,,,,,
3-040,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,30. Obstetric estimate of gestation at delivery,VRCPL,Observation-gestational-age-at-delivery,Observation-gestational-age-at-delivery-vr,,,,,
3-041,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,31. Sex,US CORE,Patient-child-vr,us-core-birthsex,,Patient-child-vr.extension,,,
3-042,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,32. Apgar score,VRCPL,Observation-apgar-score,Observation-apgar-score-vr,,,,,
3-044,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,36.1. Abnormal Conditions of the Newborn: Assisted ventilation required immediately following delivery,BFDR,Procedure-assisted-ventilation-following-delivery,Procedure-assisted-ventilation-following-delivery,,,,,
3-045,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,36.2. Abnormal Conditions of the Newborn: Assisted ventilation required for more than six hours,BFDR,Procedure-assisted-ventilation-more-than-six-hours,Procedure-assisted-ventilation-more-than-six-hours,,,,,
3-046,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,36.3. Abnormal Conditions of the Newborn: NICU admission,BFDR,Observation-nicu-admission,Observation-nicu-admission,,,,,
3-047,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,36.4. Abnormal Conditions of the Newborn: Newborn given surfactant replacement therapy,BFDR,Procedure-surfactant-replacement-therapy,Procedure-surfactant-replacement-therapy,,,,,
3-048,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,36.5. Abnormal Conditions of the Newborn: Antibiotics received by the newborn for suspected neonatal sepsis,BFDR,Procedure-antibiotic-suspected-neonatal-sepsis,Procedure-antibiotic-suspected-neonatal-sepsis,,,,,
3-049,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,36.6 Abnormal Conditions of the Newborn: Seizure or serious neurologic dysfunction,BFDR,Condition-seizure,Condition-seizure,,,,,
3-050,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,36.7 Abnormal Conditions of the Newborn: None of the above,BFDR,Observation-none-of-specified-abnormal-conditions-of-newborn,Observation-none-of-specified-abnormal-conditions-of-newborn,,,,,
3-051,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,37. Congenital anomalies of the newborn,BFDR,Condition-congenital-anomaly-of-newborn,Condition-congenital-anomaly-of-newborn,,,,,"Does profile (value set) also  accommodate these values?
o   Karyotype confirmed
o   Karyotype pending
…for  Down Syndrome & Suspected chromosomal disorder"
3-069,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,38. Was infant transferred within 24 hours of delivery?,BFDR,Encounter-birth,Encounter-birth,hospitalization.dischargeDisposition,,,,
3-070,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,39. Is infant living at time of report?,VRCPL,Observation-infant-living,Observation-infant-living-vr,,,,,
3-071,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,40. Is infant being breastfed at discharge?,BFDR,Observation-infant-breastfed-at-discharge,Observation-infant-breastfed-at-discharge,,,,,
4-001,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,1. What is your current legal name?,VRCPL,Patient-mother-vr,Patient-mother-vr,name,,Questionnaire-mothers-live-birth,item.linkId=mother-current-legal-name,
4-002,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,2. What will be your baby’s legal name?,VRCPL,Patient-child-vr,Patient-child-vr,name,,Questionnaire-mothers-live-birth,item.linkId=child-name,
4-003,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,3. Where do you usually live--that is--where is your household/residence located?,VRCPL,Patient-mother-vr,Patient-mother-vr,address,,Questionnaire-mothers-live-birth,item.linkId=mother-address,
4-004,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,4. Is this household inside city limits?,VRCPL,Patient-mother-vr,Patient-mother-vr,address.extension:withinCityLimitsIndicator,,Questionnaire-mothers-live-birth,item.linkId=inside-city-limits,
4-005,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,5. What is your mailing address?,VRCPL,Patient-mother-vr,Patient-mother-vr,address,,Questionnaire-mothers-live-birth,item.linkId=mother-mail,
4-006,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,6. What is your date of birth?,VRCPL,Patient-mother-vr,Patient-mother-vr,birthDate,,Questionnaire-mothers-live-birth,item.linkId=mother-dob,
4-007,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,"7. In what State, U.S. territory, or foreign country were you born?",FHIR,Patient-mother-vr,patient-birthPlace,,Patient-mother-vr.extension,Questionnaire-mothers-live-birth,item.linkId=mother-birthplace,
4-008,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,8. What is the highest level of schooling that you will have completed at the time of delivery?,VRCPL,Observation-education-level-vr,Observation-education-level-vr,,,Questionnaire-mothers-live-birth,item.linkId=mother-education,
4-009,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,9. Are you Spanish/Hispanic/Latina?,US CORE,Patient-mother-vr,us-core-ethnicity,,Patient-mother-vr.extension,Questionnaire-mothers-live-birth,item.linkId=mother-ethnicity,
4-010,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,10. What is your race?,US CORE,Patient-mother-vr,us-core-race,,Patient-mother-vr.extension,Questionnaire-mothers-live-birth,item.linkId=mother-race,
4-011,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,11. Did you receive WIC food for yourself because you were pregnant with this child?,BFDR,Observation-mother-received-wic-food,Observation-mother-received-wic-food,,,Questionnaire-mothers-live-birth,item.linkId=receive-wic,
4-012,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,12. Did this pregnancy result from infertility treatment?,BFDR,Questionnaire-mothers-live-birth,Questionnaire-mothers-live-birth,,,Questionnaire-mothers-live-birth,item.linkId=infertility-treatment,
4-013,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,13. What is your height?,VRCPL,Observation-mother-height,Observation-mother-height-vr,,,Questionnaire-mothers-live-birth,item.linkId=mothers-height,
4-014,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,"14. What was your prepregnancy weight, that is, your weight immediately before you became pregnant with this child?",VRCPL,Observation-mother-prepregnancy-weight,Observation-mother-prepregnancy-weight-vr,,,Questionnaire-mothers-live-birth,item.linkId=mothers-prepregnancy-weight,
4-015,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,15. How many cigarettes OR packs of cigarettes did you smoke on an average day during each of the following time periods?,BFDR,Observation-cigarette-smoking-before-during-pregnancy,Observation-cigarette-smoking-before-during-pregnancy,,,Questionnaire-mothers-live-birth,item.linkId=mothers-smoking,
4-016,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,16. Have you ever been married?,not implemented,not implemented,not implemented,,,Questionnaire-mothers-live-birth,item.linkId=mother-ever-married,
4-017,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,17. What name did you use prior to your first marriage?,VRCPL,Patient-mother-vr,Patient-mother-vr,name,,Questionnaire-mothers-live-birth,item.linkId=mother-prior-name,
4-018,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,"18. Were you married at the time you conceived this child, at the time of birth, or at any time between conception and giving birth?",BFDR,Observation-mother-married-during-pregnancy,Observation-mother-married-during-pregnancy,,,Questionnaire-mothers-live-birth,item.linkId=married-conception,
4-019,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,19. What is the current legal name of your baby’s father?,VRCPL,RelatedPerson-father-natural-vr,RelatedPerson-father-natural-vr,name,,Questionnaire-mothers-live-birth,item.linkId=father-current-legal-name,
4-020,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,20. What is the father’s date of birth?,VRCPL,RelatedPerson-father-natural-vr,RelatedPerson-father-natural-vr,birthDate,,Questionnaire-mothers-live-birth,item.linkId=father-dob,
4-021,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,"21. In what State, U.S. territory, or foreign country was the father born?",VRCPL,Extension-relatedperson-birthplace-vr,Extension-relatedperson-birthplace-vr,,RelatedPerson-father-natural-vr.extension,Questionnaire-mothers-live-birth,item.linkId=father-birthplace,
4-022,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,22. What is the highest level of schooling that the father will have completed at the time of delivery?,VRCPL,Observation-education-level-vr,Observation-education-level-vr,,,Questionnaire-mothers-live-birth,item.linkId=father-education,
4-023,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,23. Is the father Spanish/Hispanic/Latino?,US CORE,RelatedPerson-father-natural-vr,us-core-ethnicity,,RelatedPerson-father-natural-vr.extension,Questionnaire-mothers-live-birth,item.linkId=father-ethnicity,
4-024,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,24. What is the father’s race?,US CORE,RelatedPerson-father-natural-vr,us-core-race,,RelatedPerson-father-natural-vr.extension,Questionnaire-mothers-live-birth,item.linkId=father-race,
4-025,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,25a. What is your Social Security Number?,VRCPL,Patient-mother-vr,Patient-mother-vr,identifier:SSN,,Questionnaire-mothers-live-birth,item.linkId=mother-ssn,
4-026,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,25b. What is the father’s Social Security Number?,VRCPL,RelatedPerson-father-natural-vr,RelatedPerson-father-natural-vr,identifier:SSN,,Questionnaire-mothers-live-birth,item.linkId=father-ssn,
4-027,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,26a. Do you want a Social Security Number issued for your baby?,BFDR,Observation-ssn-requested-for-child,Observation-ssn-requested-for-child,,,Questionnaire-mothers-live-birth,item.linkId=baby-ssn,
4-028,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,26b. I request that the Social Security Administration assign a Social Security number to the child named on this form and authorize the State to provide the Social Security Administration with the information from this form which is needed to assign a number.,BFDR,Questionnaire-mothers-live-birth,Questionnaire-mothers-live-birth,,,Questionnaire-mothers-live-birth,item.linkId=baby-ssn-sig,
4-029,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,"27a. If other than the mother, what is the name of the person providing information for this worksheet?",BFDR,Questionnaire-mothers-live-birth,Questionnaire-mothers-live-birth,,,Questionnaire-mothers-live-birth,item.linkId=informant-name,
4-030,2016 US Standard Mothers Worksheet for Child’s Birth Certificate,https://www.cdc.gov/nchs/data/dvs/moms-worksheet-2016-508.pdf,27b. What is your relationship to the baby’s mother?,BFDR,Questionnaire-mothers-live-birth,Questionnaire-mothers-live-birth,,,Questionnaire-mothers-live-birth,item.linkId=informant-relationship,
5-001,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,Local File No.,BFDR,Extension-fetal-death-local-file-number,Extension-fetal-death-local-file-number,,Composition-provider-fetal-death-report.extension,,,
5-002,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,State File Number,BFDR,Extension-fetal-death-report-number,Extension-fetal-death-report-number,,Composition-provider-fetal-death-report.extension,,,
5-003,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,1. Name of Fetus,BFDR,Patient-decedent-fetus,Patient-decedent-fetus,name,,,,
5-004,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,2. Time of Delivery,FHIR,Patient-decedent-fetus,patient-birthTime,,Patient-decedent-fetus.birthDate.extension,,,
5-005,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,3. Sex,US CORE,Patient-decedent-fetus,us-core-birthsex,,Patient-decedent-fetus.extension,,,
5-006,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,4. Date of Delivery,BFDR,Patient-decedent-fetus,Patient-decedent-fetus,birthDate,,,,
5-007,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,"5a. City, Town, or Location of Delivery",FHIR,Patient-decedent-fetus,patient-birthPlace,,Patient-decedent-fetus.extension,,,
5-008,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,5b. Zip Code of Delivery,FHIR,Patient-decedent-fetus,patient-birthPlace,,Patient-decedent-fetus.extension,,,
5-009,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,6. County of Delivery,FHIR,Patient-decedent-fetus,patient-birthPlace,,Patient-decedent-fetus.extension,,,
5-010,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,7. Place Where Delivery Occurred,BFDR,Encounter-maternity,Encounter-maternity,location.physicalType,,,,
,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,7.a. Home Birth: Planned to deliver at home?,BFDR,Observation-planned-to-deliver-at-home,Observation-planned-to-deliver-at-home,,,,,
5-011,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,8. Facility Name / address,US CORE,Encounter-maternity,us-core-location,identifier,Encounter-maternity.location.location,,,
5-012,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,9. Facility Id,US CORE,Encounter-maternity,us-core-location,identifier,Encounter-maternity.location.location,,,
5-013,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,10a. Mother’s Current Legal Name,VRCPL,Patient-mother-vr,Patient-mother-vr,name:currentLegalName,,,,
5-014,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,10b. Mother's Date of Birth,VRCPL,Patient-mother-vr,Patient-mother-vr,birthDate,,,,
5-015,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,10c. Mother’s Name Prior to First Marriage,VRCPL,Patient-mother-vr,Patient-mother-vr,name:namePriorToFirstMarriage,,,,
5-016,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,10d. Mother's Birthplace,FHIR,Patient-mother-vr,patient-birthPlace,,Patient-mother-vr.extension,,,
5-017,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,11a. Residence of Mother-State,VRCPL,Patient-mother-vr,Patient-mother-vr,address.state,,,,
5-018,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,11b. Residence of Mother-County,VRCPL,Patient-mother-vr,Patient-mother-vr,address.district,,,,
5-019,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,"11c. Residence of Mother-City, Town, Or Location",VRCPL,Patient-mother-vr,Patient-mother-vr,address.city,,,,
5-020,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,11d. Residence of Mother-Street And Number,VRCPL,Patient-mother-vr,Patient-mother-vr,address.line,,,,
5-021,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,11e. Residence of Mother-Apt. No.,VRCPL,Patient-mother-vr,Patient-mother-vr,address.line,,,,What to do for this form item?
5-022,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,11f. Residence of Mother-Zip Code,VRCPL,Patient-mother-vr,Patient-mother-vr,address.postalCode,,,,
5-023,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,11g. Residence of Mother-Inside City Limits?,VRCPL,Patient-mother-vr,Patient-mother-vr,address.extension:withinCityLimitsIndicator,,,,
5-024,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,12a. Father’s Current Legal Name,VRCPL,RelatedPerson-father-natural-vr,RelatedPerson-father-natural-vr,name:currentLegalName,,,,"Use only RelatedPerson-father-natural-vr?
Can we use :currentLegalName on relatedPerson?"
5-025,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,12b. Father's Date of Birth,VRCPL,RelatedPerson-father-natural-vr,RelatedPerson-father-natural-vr,birthDate,,,,Use only RelatedPerson-father-natural-vr?
5-026,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,12c. Father's Birthplace,VRCPL,Extension-relatedperson-birthplace-vr,Extension-relatedperson-birthplace-vr,,RelatedPerson-father-natural-vr.extension,,,Use only RelatedPerson-father-natural-vr? Yes
5-027,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,13. Method of Disposition:,BFDR,Observation-method-of-disposition,Observation-method-of-disposition,,,,,
5-028,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,14. Attendant’s Name,VRCPL,Practitioner-vr,Practitioner-vr,name,Encounter-maternity.participant,,,
5-028,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,14. Attendant’s Title,VRCPL,Practitioner-vr,Practitioner-vr,qualification,Encounter-maternity.participant,,,
5-028,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,14. Attendant’s NPI,VRCPL,Practitioner-vr,Practitioner-vr,identifier,Encounter-maternity.participant,,,
5-029,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,15. Name Of Person Completing Report,VRCPL,Practitioner-vr,Practitioner-vr,name,Composition-provider-fetal-death-report.author,,,
5-029,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,15. Title Of Person Completing Report,VRCPL,Practitioner-vr,Practitioner-vr,qualification,Composition-provider-fetal-death-report.author,,,
5-030,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,16. Date Report Completed,BFDR,Composition-provider-fetal-death-report,Composition-provider-fetal-death-report,date,,,,
5-031,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,17. Date Received By Registrar,BFDR,Extension-date-received-by-registrar,Extension-date-received-by-registrar,,Composition-provider-fetal-death-report.extension,,,
5-033,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,18a. Initiating Cause/Condition,BFDR,Condition-fetal-death-cause-or-condition,Condition-fetal-death-cause-or-condition,,,,,
5-048,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,18b. Other Significant Causes or Conditions,BFDR,Condition-fetal-death-other-cause-or-condition,Condition-fetal-death-other-cause-or-condition,,,,,
5-063,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,18c. Weight of Fetus,VRCPL,Observation-birth-weight,Observation-birth-weight-vr,,,,,
5-066,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,18d. Obstetric Estimate of Gestation at Delivery,VRCPL,Observation-gestational-age-at-delivery,Observation-gestational-age-at-delivery-vr,,,,,
5-067,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,18e. Estimated Time of Fetal Death,BFDR,Observation-fetal-death-time-point,Observation-fetal-death-time-point,,,,,
5-072,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,18f. Was an Autopsy Performed?,VRCPL,Observation-autopsy-performed-indicator-vr,Observation-autopsy-performed-indicator-vr,,,,,
5-076,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,18g. Was a Histological Placental Examination Performed?,BFDR,Observation-histological-placental-exam-performed,Observation-histological-placental-exam-performed,,,,,
5-080,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,18h. Were Autopsy or Histological Placental Examination Results Used in Determining the Cause of Fetal Death?,BFDR,Observation-autopsy-histological-exam-results-used,Observation-autopsy-histological-exam-results-used,,,,,
5-083,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,19. Mother’s Education,VRCPL,Observation-education-level-vr,Observation-education-level-vr,,,,,
5-084,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,20. Mother of Hispanic Origin?,US CORE,Patient-mother-vr,us-core-ethnicity,,Patient-mother-vr.extension,,,
5-085,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,21. Mother’s Race,US CORE,Patient-mother-vr,us-core-race,,Patient-mother-vr.extension,,,
5-086,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,22. Mother Married?,BFDR,Observation-mother-married-during-pregnancy,Observation-mother-married-during-pregnancy,,,,,
5-087,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,23a. Date of First Prenatal Care Visit,BFDR,Observation-date-of-first-prenatal-care-visit,Observation-date-of-first-prenatal-care-visit,,,,,
5-088,2003 Revision of the U.S. Standard Report of Fetal Death,https://www.cdc.gov/nchs/data/dvs/FDEATH11-03finalACC.pdf,23b. Date of Last Prenatal Care Visit,not implemented,not implemented,not implemented,,,,,See NA tab row 26
